method,algorithm_seconds,median,lower,upper
FR--R,6.403887947672047,0.2726163340787599,0.2726163340787599,0.2726163340787599
FR--R,6.433901266660541,0.2726163340646695,0.2726163340646695,0.2726163340646695
FR--R,6.463694476697128,0.2726163340517086,0.2726163340517086,0.2726163340517086
FR--R,6.493715015705675,0.272616334039788,0.272616334039788,0.272616334039788
FR--R,6.523474594636355,0.2726163340288252,0.2726163340288252,0.2726163340288252
FR--R,6.553275573649444,0.2726163340187447,0.2726163340187447,0.2726163340187447
FR--R,6.5828893926227465,0.2726163340094764,0.2726163340094764,0.2726163340094764
FR--R,6.613115831627511,0.2726163340009557,0.2726163340009557,0.2726163340009557
FR--R,6.642931520647835,0.2726163339931232,0.2726163339931232,0.2726163339931232
FR--R,6.672998990630731,0.272616333985924,0.272616333985924,0.272616333985924
FR--R,6.702842609665822,0.2726163339793073,0.2726163339793073,0.2726163339793073
FR--R,6.7330581186688505,0.2726163339732269,0.2726163339732269,0.2726163339732269
FR--R,6.76320321764797,0.2726163339676399,0.2726163339676399,0.2726163339676399
FR--R,6.793238516605925,0.2726163339625063,0.2726163339625063,0.2726163339625063
FR--R,6.822960565623362,0.2726163339577899,0.2726163339577899,0.2726163339577899
FR--R,6.8524825148051605,0.2726163339534573,0.2726163339534573,0.2726163339534573
FR--R,6.88224434381118,0.2726163339494775,0.2726163339494775,0.2726163339494775
FR--R,6.9123059927951545,0.2726163339458219,0.2726163339458219,0.2726163339458219
FR--R,6.942650671757292,0.2726163339424649,0.2726163339424649,0.2726163339424649
FR--R,6.986621959717013,0.2726163339393817,0.2726163339393817,0.2726163339393817
FR--R,7.029839848692063,0.2726163339365505,0.2726163339365505,0.2726163339365505
FR--R,7.054014837660361,0.2726163339339509,0.2726163339339509,0.2726163339339509
FR--R,7.080840936687309,0.2726163339315639,0.2726163339315639,0.2726163339315639
FR--R,7.111596345668659,0.2726163339293727,0.2726163339293727,0.2726163339293727
FR--R,7.141640354588162,0.2726163339273609,0.2726163339273609,0.2726163339273609
FR--R,7.164498284633737,0.2726163339255141,0.2726163339255141,0.2726163339255141
FR--R,7.187135724583641,0.272616333923819,0.272616333923819,0.272616333923819
FR--R,7.210002354637254,0.2726163339222633,0.2726163339222633,0.2726163339222633
FR--R,7.233222744602244,0.2726163339208353,0.2726163339208353,0.2726163339208353
FR--R,7.268938363529742,0.2726163339195248,0.2726163339195248,0.2726163339195248
FR--R,7.305483322707005,0.2726163339183221,0.2726163339183221,0.2726163339183221
FR--R,7.330060842796229,0.2726163339172184,0.2726163339172184,0.2726163339172184
FR--R,7.352715932705905,0.2726163339162057,0.2726163339162057,0.2726163339162057
FR--R,7.375315962766763,0.2726163339152767,0.2726163339152767,0.2726163339152767
FR--R,7.398422612750437,0.2726163339144242,0.2726163339144242,0.2726163339144242
FR--R,7.422263242711779,0.2726163339136421,0.2726163339136421,0.2726163339136421
FR--R,7.452520521765109,0.2726163339129244,0.2726163339129244,0.2726163339129244
FR--R,7.478391680808272,0.2726163339122663,0.2726163339122663,0.2726163339122663
FR--R,7.502440009848215,0.2726163339116625,0.2726163339116625,0.2726163339116625
FR--R,7.527168188826181,0.2726163339111087,0.2726163339111087,0.2726163339111087
FR--R,7.555420747841708,0.2726163339106007,0.2726163339106007,0.2726163339106007
FR--R,7.586067476833705,0.2726163339101347,0.2726163339101347,0.2726163339101347
FR--R,7.616260016744491,0.2726163339097073,0.2726163339097073,0.2726163339097073
FR--R,7.638663615682162,0.2726163339093154,0.2726163339093154,0.2726163339093154
FR--R,7.661439154646359,0.272616333908956,0.272616333908956,0.272616333908956
FR--R,7.688572843617294,0.2726163339086265,0.2726163339086265,0.2726163339086265
FR--R,7.719383902614936,0.2726163339083243,0.2726163339083243,0.2726163339083243
FR--R,7.746587571571581,0.2726163339080471,0.2726163339080471,0.2726163339080471
FR--R,7.769073190575,0.2726163339077931,0.2726163339077931,0.2726163339077931
FR--R,7.793360899551772,0.27261633390756,0.27261633390756,0.27261633390756
FR--R,7.823307578510139,0.2726163339073465,0.2726163339073465,0.2726163339073465
FR--R,7.851767437532544,0.2726163339071505,0.2726163339071505,0.2726163339071505
FR--R,7.881936586403754,0.272616333906971,0.272616333906971,0.272616333906971
FR--R,7.912123715330381,0.2726163339068064,0.2726163339068064,0.2726163339068064
FR--R,7.941886835324112,0.2726163339066554,0.2726163339066554,0.2726163339066554
FR--R,7.971544934320264,0.2726163339065171,0.2726163339065171,0.2726163339065171
FR--R,8.001664533279836,0.2726163339063903,0.2726163339063903,0.2726163339063903
FR--R,8.032414052227978,0.272616333906274,0.272616333906274,0.272616333906274
FR--R,8.062540451239329,0.2726163339061675,0.2726163339061675,0.2726163339061675
FR--R,8.092653750267345,0.2726163339060697,0.2726163339060697,0.2726163339060697
FR--R,8.12255939928582,0.2726163339059803,0.2726163339059803,0.2726163339059803
FR--R,8.152474538306706,0.2726163339058981,0.2726163339058981,0.2726163339058981
FR--R,8.182820437359624,0.272616333905823,0.272616333905823,0.272616333905823
FR--R,8.213593096239492,0.2726163339057542,0.2726163339057542,0.2726163339057542
FR--R,8.244104096258525,0.2726163339056908,0.2726163339056908,0.2726163339056908
FR--R,8.275285645271651,0.2726163339056329,0.2726163339056329,0.2726163339056329
FR--R,8.305759624228813,0.27261633390558,0.27261633390558,0.27261633390558
FR--R,8.336218403244857,0.2726163339055313,0.2726163339055313,0.2726163339055313
FR--R,8.36644567217445,0.2726163339054868,0.2726163339054868,0.2726163339054868
FR--R,8.396488581201993,0.2726163339054459,0.2726163339054459,0.2726163339054459
FR--R,8.426937510143034,0.2726163339054085,0.2726163339054085,0.2726163339054085
FR--R,8.45704906922765,0.2726163339053742,0.2726163339053742,0.2726163339053742
FR--R,8.487065918161534,0.2726163339053427,0.2726163339053427,0.2726163339053427
FR--R,8.517394577211235,0.2726163339053139,0.2726163339053139,0.2726163339053139
FR--R,8.547424347139895,0.2726163339052875,0.2726163339052875,0.2726163339052875
FR--R,8.578255876200274,0.2726163339052634,0.2726163339052634,0.2726163339052634
FR--R,8.609616405214183,0.2726163339052413,0.2726163339052413,0.2726163339052413
