rescue,batch_size,oracle_pairs,median_gap
False,8,37840,0.0005564648063742001
False,8,37920,0.00052054055937975
False,8,38000,0.0004924587305805
False,8,38080,0.000507702840633
False,8,38160,0.00047905291042965
False,8,38240,0.0004813331488402
False,8,38320,0.0004116776246978
False,8,38400,0.00043221439181045
False,8,38480,0.00047436133791650003
False,8,38560,0.0004774598339856
False,8,38640,0.0005210589185939501
False,8,38720,0.00049492453993145
False,8,38800,0.0005084492454931499
False,8,38880,0.00042396126663164996
False,8,38960,0.00041406047889445
False,8,39040,0.0004647010750451
False,8,39120,0.00042842943489415
False,8,39200,0.00049409170049755
False,8,39280,0.0005135845420385
False,8,39360,0.0005072739687608
False,8,39440,0.0005505865192252
False,8,39520,0.00056650182738055
False,8,39600,0.0005110134595627
False,8,39680,0.00048674370222065
False,8,39760,0.0004822437096563
False,8,39840,0.00047223485677689995
False,8,39920,0.00045246523004345
False,8,40000,0.0005049173244344499
False,8,40080,0.0004916894072897
False,8,40160,0.00048516550293515
False,8,40240,0.0004733847891791
False,8,40320,0.0005361624131622999
False,8,40400,0.0005824004621497001
False,8,40480,0.00050578601035005
False,8,40560,0.00048749995657355
False,8,40640,0.0005086518423857501
False,8,40720,0.0005190580376988
False,8,40800,0.0004898134025075001
False,8,40880,0.00056828963773545
False,8,40960,0.0005646287716789
False,8,41040,0.00055398821533845
False,8,41120,0.00056146651376115
False,8,41200,0.0005675213251139
False,8,41280,0.0005986064195524
False,8,41360,0.00061266359464035
False,8,41440,0.0006233846361931
False,8,41520,0.00055199953097325
False,8,41600,0.00053497061296065
False,8,41680,0.0005468423873144499
False,8,41760,0.00058586473517765
False,8,41840,0.0005775700007418999
