job_id,backend,fisher_rao_residual_squared,bures_wasserstein_residual_squared,quadrature_resolution_floor,independent_design_residual_squared
K_decreasing_d8_rho1_B1,gauss_hermite_foc,7.996942379180165e-30,1.8225396462054774e-30,,
K_decreasing_d8_rho1_B8,gauss_hermite_foc,9.891133016907142e-30,1.767053017581759e-30,,
K_decreasing_steps_smoke,gauss_hermite_foc,2.9942064950456864e-30,6.779410171863512e-30,,
L_logistic_d100_lam0.1_fc1e0,fixed_qmc_foc_newton,11037124.626287913,1104216.9393713993,3863828.5023656925,11037087.340062307
L_logistic_d100_lam0.1_fc1e2,fixed_qmc_foc_newton,4.399319604825463e-27,4.328360009090898e-26,0.08732643167934384,4.646762796719774e-05
L_logistic_d100_lam0.1_fc1e4,fixed_qmc_foc_newton,1.936075251245112e-25,2.9580936864195128e-24,0.10489955801597262,2.615995645328448e-05
L_logistic_d100_lam1_fc1e0,fixed_qmc_foc_newton,1073405.2471638676,1074458.8295044976,362368.30443753424,1073412.9755469442
L_logistic_d100_lam1_fc1e2,fixed_qmc_foc_newton,3.4462388353318324e-27,9.716868627869777e-26,0.12094589249124965,3.0143411878049112e-05
L_logistic_d100_lam1_fc1e4,fixed_qmc_foc_newton,1.899252231162642e-26,1.175357896555759e-25,0.10904778071619603,9.785625638205577e-06
L_logistic_d10_lam0.1_fc1e0,fixed_qmc_foc_newton,7.123446788219389e-29,1.3218161439545047e-27,2.5658335971456836e-06,8.226615644414975e-08
L_logistic_d10_lam0.1_fc1e2,fixed_qmc_foc_newton,1.5744651003038068e-28,1.162004109538926e-28,9.196293362379038e-06,1.8235008346102116e-07
L_logistic_d10_lam0.1_fc1e4,fixed_qmc_foc_newton,8.596101595309548e-28,6.240096510144911e-28,5.751658889607825e-06,1.829757052371498e-08
L_logistic_d10_lam1_fc1e0,fixed_qmc_foc_newton,2.5977824351631757e-28,4.5118636439748324e-27,3.274644257089676e-06,1.092416521371886e-07
L_logistic_d10_lam1_fc1e2,fixed_qmc_foc_newton,5.065315069617851e-29,3.7637969453473266e-28,1.1403652820263233e-05,4.0662031743346205e-08
L_logistic_d10_lam1_fc1e4,fixed_qmc_foc_newton,6.752575802930077e-29,5.964658814892236e-29,2.8635053581638203e-06,1.3960384377962175e-08
L_logistic_d10_n100_core,fixed_qmc_lbfgs,2.341427754495974e-05,0.0002994199396213586,,
L_logistic_d50_lam0.1_fc1e0,fixed_qmc_foc_newton,2776901.148156962,277808.27340563945,939383.0951129252,2776870.9851683155
L_logistic_d50_lam0.1_fc1e2,fixed_qmc_foc_newton,1.2848608122402575e-27,1.1436952793347477e-26,0.0063004087123204044,5.874793594743903e-06
L_logistic_d50_lam0.1_fc1e4,fixed_qmc_foc_newton,3.1640162153090867e-26,1.4885381214770724e-25,0.003389007245971243,2.847817612607629e-06
L_logistic_d50_lam1_fc1e0,fixed_qmc_foc_newton,264256.0591126148,264729.51315200824,88367.9689919359,264250.5112072131
