tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,33,0.04,1.0391448992391248,0.016336989454325046,nan,0.061982264141513366,0.0341760567230141,0.2662664075235694,0.7405903292223474,2.625556525293835,0.7733741599237357,0.9709301528037112,0.022355883218307334,0.021319812385062836,0.04932315798942,,nan,nan,nan,nan,nan,nan,nan,33,265,265,265,0,0,33,33,101,101,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,34,0.04,1.0373977777732983,0.014589867988498595,nan,0.055549004478075335,0.032719128274047694,0.2527022946025677,0.7413674345301934,2.665057173403328,0.7850093238418705,0.9719489548937736,0.020092644079657083,0.018961981217073758,0.05077967798570171,,nan,nan,nan,nan,nan,nan,nan,34,273,273,273,0,0,34,34,104,104,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,35,0.04,1.0378482286244004,0.015040318839600664,nan,0.05741327663006889,0.031019770242345188,0.2567771305236008,0.7428530416115587,2.649159164155736,0.7803264653972443,0.9738966183368408,0.02061621822735181,0.019365594269380053,0.052253278030548245,,nan,nan,nan,nan,nan,nan,nan,35,281,281,281,0,0,35,35,107,107,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,36,0.04,1.036919603916707,0.01411169413190727,nan,0.0546569139322184,0.03241834689337477,0.24884726537734256,0.7455397563852302,2.666608780108417,0.7854663593391148,0.9774189602886731,0.019360235732522612,0.01779257913521728,0.05371520802145824,,nan,nan,nan,nan,nan,nan,nan,36,289,289,289,0,0,36,36,110,110,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,37,0.04,1.0355295085359304,0.012721598751130658,nan,0.050358199388669526,0.03911177284040192,0.2348999436871144,0.7448406001560806,2.7077007336498102,0.7975702522637372,0.9765023511491578,0.017614475924290794,0.015837720899511156,0.05516891798470169,,nan,nan,nan,nan,nan,nan,nan,37,297,297,297,0,0,37,37,113,113,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,38,0.04,1.0352789662305901,0.012471056445790385,nan,0.04938684874156657,0.041059613205575156,0.2319189347459958,0.7447355104106064,2.7218876147501105,0.8017490871687122,0.9763645761896356,0.01735371093556835,0.015611126741640335,0.05661300802603364,,nan,nan,nan,nan,nan,nan,nan,38,305,305,305,0,0,38,38,116,116,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,39,0.04,1.035146399407513,0.012338489622713222,nan,0.04887546721491935,0.039559975929425395,0.2312350334954162,0.7446746923984991,2.721218360108162,0.8015519540117959,0.9762848424428415,0.01714322754102933,0.015401155221968148,0.0580756280105561,,nan,nan,nan,nan,nan,nan,nan,39,313,313,313,0,0,39,39,119,119,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,40,0.04,1.0345912019436905,0.011783292158890735,nan,0.04717293284054846,0.04043126517330931,0.22576630144229323,0.7458923523335044,2.734285278099514,0.8054008967509835,0.9778812213045509,0.016398993909254703,0.014512514384130233,0.05953523801872507,,nan,nan,nan,nan,nan,nan,nan,40,321,321,321,0,0,40,40,122,122,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,41,0.04,1.033300634475896,0.010492724691096189,nan,0.04232563153078312,0.03988563610149324,0.21327836847158207,0.7474359292184058,2.770915155508911,0.8161904571343507,0.9799048844305551,0.014698353900675157,0.012803961894615227,0.06098669802304357,,nan,nan,nan,nan,nan,nan,nan,41,329,329,329,0,0,41,41,125,125,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,42,0.04,1.0326853419795903,0.009877432194790536,nan,0.03886174018244963,0.029226040542147388,0.21040888811047315,0.7468033840076775,2.777404372736905,0.8181018968134872,0.9790756037960734,0.013787105679763162,0.012245896958062627,0.06243186799110845,,nan,nan,nan,nan,nan,nan,nan,42,337,337,337,0,0,42,42,128,128,0,8,True,False,0.04
