job_id,omega,tau,dimension,step_size,predicted_traceless_rate,fitted_traceless_rate,predicted_trace_rate,fitted_trace_rate
M_affine_metric_d2_h0.04,1.0,0.5,2,0.04,0.5,0.5051029357507489,0.25,0.2512811991804996
M_affine_metric_d2_h0.04,1.0,2.0,2,0.04,0.5,0.5051039711244251,0.1,0.100215668512613
M_affine_metric_d2_h0.04,2.0,-0.5,2,0.04,0.25,0.2512821314177471,0.5,0.5051016423623977
M_affine_metric_d2_h0.04,2.0,0.0,2,0.04,0.25,0.2512817000227696,0.25,0.2512817000535854
M_affine_metric_d2_h0.04,2.0,1.0,2,0.04,0.25,0.2512799161706028,0.125,0.1253302160702112
M_affine_metric_d2_h0.04,2.0,4.0,2,0.04,0.25,0.2512779997507829,0.05,0.0500617974778917
M_affine_metric_d5_h0.005,0.25,-0.025,5,0.005,2.0,2.0100729939991635,4.0,4.04064765839237
M_affine_metric_d5_h0.005,0.25,0.0,5,0.005,2.0,2.010081365094784,2.0,2.010082232609429
M_affine_metric_d5_h0.005,0.25,0.05,5,0.005,2.0,2.010096782901552,1.0,1.0025222583266706
M_affine_metric_d5_h0.005,0.25,0.2,5,0.005,2.0,2.0101218211679246,0.4,0.4004124387444769
M_affine_metric_d5_h0.005,0.5,-0.05,5,0.005,1.0,1.0025184316194042,2.0,2.0101201920175096
M_affine_metric_d5_h0.005,0.5,0.0,5,0.005,1.0,1.0025274153605588,1.0,1.002528617568723
M_affine_metric_d5_h0.005,0.5,0.1,5,0.005,1.0,1.0025368541047304,0.5,0.5006417884408382
M_affine_metric_d5_h0.005,0.5,0.4,5,0.005,1.0,1.0025452784068776,0.2,0.2001108408711134
M_affine_metric_d5_h0.005,1.0,-0.1,5,0.005,0.5,0.5006400355463915,1.0,1.0025409877382985
M_affine_metric_d5_h0.005,1.0,0.0,5,0.005,0.5,0.5006446240898703,0.5,0.5006457962500327
M_affine_metric_d5_h0.005,1.0,0.2,5,0.005,0.5,0.500646751151525,0.25,0.2501706058783987
M_affine_metric_d5_h0.005,1.0,0.8,5,0.005,0.5,0.5006474128350585,0.1,0.1000344713760947
M_affine_metric_d5_h0.005,2.0,-0.2,5,0.005,0.25,0.2501703176525746,0.5,0.5006471268727547
M_affine_metric_d5_h0.005,2.0,0.0,5,0.005,0.25,0.2501700871257678,0.25,0.250170952399867
M_affine_metric_d5_h0.005,2.0,0.4,5,0.005,0.25,0.2501689929168041,0.125,0.1250495335541614
