method,rescued,grid_dimension,grid_condition,grid_rho,grid_batch_size,floor
S--FB--GVI,False,8,10.0,1.0,8,0.0055247537726992
S--FB--GVI,False,8,10.0,1.0,16,0.0026218303732043497
S--FB--GVI,False,8,10.0,1.0,32,0.001330611842206
S--FB--GVI,False,8,10.0,1.0,64,0.00066841442490375
S--FB--GVI,False,8,100.0,0.5,1,0.020945376067214
S--FB--GVI,False,8,100.0,0.5,2,0.010424856575379449
S--FB--GVI,False,8,100.0,0.5,4,0.0053808093103344
S--FB--GVI,False,8,100.0,0.5,8,0.00262743217966525
S--FB--GVI,False,8,100.0,0.5,16,0.0013283163719055
S--FB--GVI,False,8,100.0,0.5,32,0.0006650044372107
S--FB--GVI,False,8,100.0,0.5,64,0.000328772945068
S--FB--GVI,False,8,100.0,1.0,1,0.0376674801959993
S--FB--GVI,False,8,100.0,1.0,2,0.018947074255535698
S--FB--GVI,False,8,100.0,1.0,4,0.00923574358942365
S--FB--GVI,False,8,100.0,1.0,8,0.0047113015292721
S--FB--GVI,False,8,100.0,1.0,16,0.0023358831023765
S--FB--GVI,False,8,100.0,1.0,32,0.0011649420093051
S--FB--GVI,False,8,100.0,1.0,64,0.00059041840703685
S--FB--GVI,False,32,10.0,0.5,1,0.11378085387354625
S--FB--GVI,False,32,10.0,0.5,2,0.055553291978386904
S--FB--GVI,False,32,10.0,0.5,4,0.028134753995180548
S--FB--GVI,False,32,10.0,0.5,8,0.014046743261569149
S--FB--GVI,False,32,10.0,0.5,16,0.006983063688330101
S--FB--GVI,False,32,10.0,0.5,32,0.0035184092225151
S--FB--GVI,False,32,10.0,0.5,64,0.0017547768549066
S--FB--GVI,False,32,10.0,1.0,1,0.17942263381038964
S--FB--GVI,False,32,10.0,1.0,2,0.08955444909545025
S--FB--GVI,False,32,10.0,1.0,4,0.0449462640791438
S--FB--GVI,False,32,10.0,1.0,8,0.0223888507986238
S--FB--GVI,False,32,10.0,1.0,16,0.01120221359283485
S--FB--GVI,False,32,10.0,1.0,32,0.0056367466463331
S--FB--GVI,False,32,10.0,1.0,64,0.00279308669727025
S--FB--GVI,False,32,100.0,0.5,1,0.08925541782032195
S--FB--GVI,False,32,100.0,0.5,2,0.0439456319353457
S--FB--GVI,False,32,100.0,0.5,4,0.02169015032231055
S--FB--GVI,False,32,100.0,0.5,8,0.010868715763431049
S--FB--GVI,False,32,100.0,0.5,16,0.0054080926231705
S--FB--GVI,False,32,100.0,0.5,32,0.00274413717565555
S--FB--GVI,False,32,100.0,0.5,64,0.0013621433494943
S--FB--GVI,False,32,100.0,1.0,1,0.1561506787566831
S--FB--GVI,False,32,100.0,1.0,2,0.0775133503884868
S--FB--GVI,False,32,100.0,1.0,4,0.038886099128706705
S--FB--GVI,False,32,100.0,1.0,8,0.019152716497713648
S--FB--GVI,False,32,100.0,1.0,16,0.00960279153298415
S--FB--GVI,False,32,100.0,1.0,32,0.004788666339704701
S--FB--GVI,False,32,100.0,1.0,64,0.00242376899979385
