tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,source_file
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,32,0.02,0.7807970122367806,0.2244954329958605,nan,0.8718528920122564,0.2747981882395864,0.6652571789504466,0.8110288846200928,1.415188640341229,0.35713649553179816,0.8288461838930586,0.24883937422753794,0.33590017331037614,0.04966956900898367,,nan,nan,nan,nan,nan,nan,nan,32,32,32,32,32,0,32,32,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,33,0.02,0.7742257406499835,0.21792416140906345,nan,0.8518053684280602,0.27127160144998375,0.658224279074487,0.8156626097322587,1.4390809010713757,0.3631531271285786,0.8336111119184343,0.24289437658909407,0.32243423543155236,0.05118105898145586,,nan,nan,nan,nan,nan,nan,nan,33,33,33,33,33,0,33,33,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,34,0.02,0.767915754208662,0.21161417496774193,nan,0.8323801718897947,0.2678419007141,0.6513116398891634,0.8201203399832465,1.4627242363092712,0.36910671636153847,0.8381960540808997,0.23713937346112782,0.3096840991570507,0.05268893903121352,,nan,nan,nan,nan,nan,nan,nan,34,34,34,34,34,0,34,34,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,35,0.02,0.7618533006115248,0.20555172137060473,nan,0.8135510013296283,0.2645058292505112,0.6445149477313041,0.8244095218622769,1.4861216141777818,0.374998030330332,0.8426085905834724,0.23156666894109235,0.2976013636140653,0.0542013089871034,,nan,nan,nan,nan,nan,nan,nan,35,35,35,35,35,0,35,35,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,0,0.0,1.3338081736345782,0.7775065943936581,nan,2.164698849525087,0.4659072338241878,1.0015342835174892,0.5,0.5,0.12634851757508656,0.5103021254715906,0.611531724319331,2.1566389868184306,0.00046836998080834746,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.12,results/raw/smoke/D/D_logcosh_global_smoke/fr-kl_seed0.csv
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,1,0.12,1.2655851647392482,0.7092835854983282,nan,2.032646653455043,0.43816380072503,0.977976413917455,0.5251329118016549,0.5505370104837579,0.13910944861753732,0.5359899519199557,0.5727613427281609,1.8666206577315976,0.0025013289996422827,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,0,0,2,2,0,1,False,False,0.12,results/raw/smoke/D/D_logcosh_global_smoke/fr-kl_seed0.csv
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,2,0.12,1.2017880532117784,0.6454864739708583,nan,1.9035206511465652,0.4113800895020152,0.9540677760510619,0.5496878366292876,0.6050854930838143,0.15287946771542554,0.561101235954214,0.5346524399061496,1.6124836828242093,0.004175418987870216,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,0,0,4,4,0,1,False,False,0.12,results/raw/smoke/D/D_logcosh_global_smoke/fr-kl_seed0.csv
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,3,0.12,1.1423323964370118,0.5860308171960917,nan,1.7776397943005025,0.38570031893749057,0.9298140122812676,0.5735366975811469,0.663751025410934,0.16768397648370006,0.5855073771071391,0.49754646250516815,1.3904142714207157,0.005789708986412734,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,0,0,6,6,0,1,False,False,0.12,results/raw/smoke/D/D_logcosh_global_smoke/fr-kl_seed0.csv
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,4,0.12,1.087095798299509,0.530794219058589,nan,1.6552880213400614,0.36123099239479406,0.9052125060086758,0.5965735734022543,0.7266025614943339,0.18353894314220295,0.6091022849015922,0.4617083475953138,1.1968870603826904,0.007403369003441185,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,0,0,8,8,0,1,False,False,0.12,results/raw/smoke/D/D_logcosh_global_smoke/fr-kl_seed0.csv
smoke,D,D_logcosh_global_smoke,FR--KL,4139269695,5,0.12,1.0359266569769745,0.47962507773605445,nan,1.5367214141488865,0.3380394555021618,0.8802556786968768,0.6187155824655318,0.7936663920071992,0.20044939296630437,0.6318031957361007,0.42732739638779416,1.0286594779112739,0.009029398963321,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,0,0,10,10,0,1,False,False,0.12,results/raw/smoke/D/D_logcosh_global_smoke/fr-kl_seed0.csv
